,Name,Fund,CIK,Personal Net Worth,Description,Photo,Status
,Carl Thoma,"Thoma Bravo, LLC",0001450701,"$1,000,000,000","A co-founder of private equity firm Thoma Bravo, Carl Thoma is one of the deans of the buyout business. Thoma Bravo focuses on application and infrastructure software and technology-enabled business service sectors, and uses a ""consolidation"" or ""buy and build"" investment strategy.",https://www.thomabravo.com/team?id=carl-d-thoma,Complete
,Gerald Ford,Hilltop Holdings,0001265131,"$2,100,000,000","Gerald Ford has been buying distressed banks and turning them around since 1975, when he bought his first bank. Ford has a 17% stake in publicly traded banking firm Hilltop Holdings, which owns PlainsCapital Bank and property insurer National Lloyds Corp. Ford's son Jeremy Ford is CEO of Hilltop Holdings, and his son-in-law Corey Prestidge is general counsel and executive vice president of the firm.",https://www.forbes.com/profile/gerald-ford/?list=rtb/#291be3735739,Complete
,Charles Koch,Koch Inustries Inc,0000923338,"$41,700,000,000","Charles Koch has been chairman and CEO of Koch Industries, America's second-largest private company by revenue, since 1967. The diversified company does some $110 billion in revenues from businesses including pipelines, chemicals, Dixie cups, and Stainmaster carpet. His father, Fred Koch, improved a method of refining heavy oil into gasoline in 1927 and started the family business in 1940. The Kansas native owns a 42% stake in the firm.",https://www.forbes.com/profile/charles-koch/?list=rtb/#4cec18db57d7,Complete
,Bill Gates,Bill & Melinda Gates Foundation Trust,0001166559,"$103,000,000,000","With his wife Melinda, Bill Gates chairs the Bill & Melinda Gates Foundation, the world's largest private charitable foundation. Gates has sold or given away much of his stake in Microsoft -- he owns just over 1% of shares -- and invested in a mix of stocks and other assets. To date, Gates has donated $35.8 billion worth of Microsoft stock to the Gates Foundation.",https://www.forbes.com/profile/bill-gates/?list=rtb/#528c51bf689f,Complete
,Sam Zell,Equity Group Investments LLC,0001177254,"$5,100,000,000","In 1969, Sam Zell started Equity Group Investments, which today invests in industries like energy, logistics, and healthcare. The forefather of modern real estate investment trusts, Zell chairs five public companies, including one of the nation's largest residential REIT's. His $39 billion sale of office REIT Equity Office to Blackstone just before the market crashed in 2007 was among the largest real estate deals ever.",https://www.forbes.com/profile/sam-zell/?list=rtb/#467c973919df,Complete
,Michael Dell,Dell Technologies Inc,0001571996,"$27,200,000,000","Michael Dell is the chairman and CEO of Dell Technologies, which was formed in 2016 when Dell merged with computer storage giant EMC. Much of Dell's fortune lies in his private investment firm MSD Capital, which has stakes in hotels and restaurants.",https://www.forbes.com/profile/michael-dell/?list=rtb/#5d4ce8b36ce0,Complete
,Len Blavatnik,Access Industries,0001669316,"$18,300,000,000","Len Blavatnik is a businessman, investor, and philanthropist. He made his fortune through business via diversified investments in myriad companies through his conglomerate company, Access Industries. He made a fortune selling his stake in Russian oil company TNK-BP for $7 billion in 2013.",https://www.forbes.com/profile/len-blavatnik/?list=rtb/#1fcdb0d256f3,Complete
,Thomas Peterffy,"Interactive Brokers Group, Inc.",0001381197,"$16,300,000,000","A digital trading pioneer, Thomas Peterffy is CEO of Interactive Brokers, which markets its specialized trading platform to sophisticated investors. He founded Interactive Brokers in 1993 after originally starting in market-making.",https://www.forbes.com/profile/thomas-peterffy/?list=rtb/#334e407b1c0f,Complete
,Rupert Murdoch,News Corp,0001564708,"$15,900,000,000","Keith Rupert Murdoch is an Australian-born American media mogul who founded News Corp. Murdoch controls a media empire that includes cable channel Fox News, The Times of London and The Wall Street Journal. Murdoch sold most of Fox's movie studio, FX and National Geographic Networks and its stake in Star India to Disney for $71.3 billion in March 2019.",https://www.forbes.com/profile/rupert-murdoch/?list=rtb/#8ae8421b1af6,Complete
,Andrew Beal,Beal Financial Corp,0000946482,"$8,100,000,000","Andrew Beal is the founder and owner of Beal Financial Corporation, which owns Beal Bank and has assets of more than $7 billion. The Texas banker is known for gobbling up distressed assets, including mortgages, bonds backed by commercial planes and IOUs to power plants.",https://www.forbes.com/profile/andrew-beal/?list=rtb/#657ed0f33067,Complete
,Jim Kennedy,Cox Enterprises,0000779426,"$8,100,000,000","Jim Kennedy is the chairman of privately-held automotive and media company Cox Enterprises; he shares ownership with his sister and cousins. In addition to being chairman, he served as CEO from 1988 to 2008; under his leadership revenues rose from $1.8 billion to $21 billion. Kennedy's grandfather, James M. Cox, founded Cox Enterprises in 1898 when he purchased the Dayton Evening News.",https://www.forbes.com/profile/jim-kennedy/?list=rtb/#1d6f0b9f724c,Complete
,John Doerr,Kleiner Perkins Caufield & Byers,0001032455,"$8,000,000,000","Investor John Doerr is chairman of venture capital firm Kleiner Perkins, formerly called Kleiner Perkins Caufield & Byers. He joined the firm in 1980 after working at Intel and co-founding two companies. Doerr famously led Kleiner into Google in 1999, investing $12.5 million and transforming it into billions when Google went public in 2004. Doerr stepped down from his role leading the firm in March 2016.",https://www.forbes.com/profile/john-doerr/?list=rtb/#35df41e126c5,Complete
,Leon Black,Apollo Management Holdings,0001449434,"$7,300,000,000","Leon Black is the co-founder, chairman, and CEO of private equity behemoth Apollo Global Management, which manages over $300 billion in assets. He spent much of his early career at investment bank Drexel Burnham Lambert, where he eventually headed the mergers and acquisitions group. Black founded Apollo with colleagues Joshua Harris and Marc Rowan, both of whom are billionaires. Apollo went public in 2011; Black still owns roughly 23% of the company.",https://www.forbes.com/profile/leon-black/?list=rtb/#719f87cb1629,Complete
,Ronald Perelman,Perelman Ronald O,0001186472,"$7,200,000,000","Ronald Perelman is a dealmaker who built a fortune with a diverse array of holdings, from candy to cosmetics. He earned a reputation in the 1980s as one of the era's fiercest corporate raiders. He is a longtime shareholder of cosmetics giant Revlon; his daughter Debra became the firm's CEO in 2018.",https://www.forbes.com/profile/ronald-perelman/?list=rtb/#2ebfe75d2395,Complete
,Charles Schwab,Schwab Charles Corp,0000316709,"$7,200,000,000","Charles Schwab is chairman and founder of the eponymous brokerage firm, which manages $3.75 trillion worth of assets. He was CEO of the company until 2008 and remains the largest shareholder with an 11% stake. Schwab founded the firm as a traditional brick-and-mortar brokerage in 1971, with $100,000 borrowed from his uncle.",https://www.forbes.com/profile/charles-schwab/?list=rtb/#7230290c2e4b,Complete
,Patrick Soon-Shiong,NantKwest / NantWorks / NantHealth,0001566469,"$6,700,000,000","Patrick Soon-Shiong invented cancer drug, Abraxane. It became a blockbuster thanks to its efficacy against pancreatic cancer. He sold drug companies Abraxis and American Pharmaceutical Partners for a combined $9.1 billion. His cancer drugmaker, NantKwest, went public in 2015 and his biotech startup, NantHealth, listed in 2016. He owns NantWorks, a network of health startups.",https://www.forbes.com/profile/patrick-soon-shiong/?list=rtb/#6e106d0e1fee,Complete
,Steven Rales,Danaher / Fortive Corporation,0000755230,"$6,700,000,000","Steven Rales and his brother Mitchell acquired a REIT in 1983 and merged it into their firm Danaher, named after a Montana creek. Over the years they acquired more than three dozen companies and turned Danaher into an industrial firm with $20 billion in revenues. In July 2016, the industrial conglomerate spun off some of its assets into a new company, Fortive Corporation. Danaher had $19.9 billion in sales in 2018; Rales serves as the chairman of the board at the company.",https://www.forbes.com/profile/steven-rales/?list=rtb/#150acf7403fd,Complete
,George Kaiser,BOK Financial / George Kaiser Family Foundation,0001265376,"$5,800,000,000","George took over his family's Kaiser-Francis Oil Company in the 1960s. Kaiser bought Bank of Oklahoma in 1991 for $60 million; he owns about 54% of the publicly-traded bank. Kaiser has donated more than $4 billion to his charitable foundations, which focus on early childhood education.",https://www.forbes.com/profile/george-kaiser/?list=rtb/#2320fb6f7f65,Complete
,Tom Gores,Platinum Equity LLC,0001228754,"$5,700,000,000","Tom Gores oversees more than 25 companies with some $19.4 billion in assets through his Los Angeles-based private equity firm, Platinum Equity. In July 2019, Platinum raised more than $7 billion for what will be the firm's largest fund when it closes later in the year. In 2011, Gores and Platinum Equity bought the NBA Detroit Pistons. In August 2015 he purchased Platinum's stake, giving him 100% of the team's equity.",https://www.forbes.com/profile/tom-gores/?list=rtb/#14013c1f6b39,Complete
